City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
135,Chuy,UY,-33.6971,-53.4616,61.9,59,100,7.36,overcast clouds
136,Sitka,US,57.0531,-135.33,62.2,49,0,3.85,clear sky
137,Tolaga Bay,NZ,-38.3667,178.3,54.43,68,3,11.83,clear sky
138,Sitio Novo Do Tocantins,BR,-5.5183,-47.4611,87.73,58,0,6.91,clear sky
139,Praia Da Vitoria,PT,38.7333,-27.0667,70.05,88,40,1.97,scattered clouds
140,Treinta Y Tres,UY,-33.2333,-54.3833,60.84,66,99,8.16,overcast clouds
141,Alice Springs,AU,-23.7,133.8833,42.35,65,10,0.0,clear sky
142,Puerto Lempira,HN,15.2667,-83.7667,78.94,83,100,5.75,overcast clouds
143,San Cristobal,VE,7.7669,-72.225,78.98,45,100,9.22,overcast clouds
144,Hilo,US,19.7297,-155.09,76.62,89,33,1.99,scattered clouds
145,Ancud,CL,-41.8697,-73.8203,54.19,91,100,26.53,light rain
146,Ketchikan,US,55.3422,-131.6461,62.4,45,0,2.62,clear sky
147,Vestmannaeyjar,IS,63.4427,-20.2734,50.27,82,100,7.54,overcast clouds
148,Akdepe,TM,42.0551,59.3788,59.09,38,7,10.04,clear sky
149,Ukiah,US,39.1502,-123.2078,81.45,39,43,1.01,scattered clouds
150,Talnakh,RU,69.4865,88.3972,42.21,100,100,1.5,overcast clouds
151,Fortuna,US,40.5982,-124.1573,61.93,72,20,12.66,few clouds
152,Makakilo City,US,21.3469,-158.0858,80.01,78,6,4.97,clear sky
153,Mar Del Plata,AR,-38.0023,-57.5575,68.02,64,0,4.61,clear sky
154,Rawson,AR,-43.3002,-65.1023,63.59,37,100,14.54,overcast clouds
155,Aksu,CN,41.1231,80.2644,75.69,27,100,10.38,overcast clouds
156,Cabo San Lucas,MX,22.8909,-109.9124,84.61,63,0,11.79,clear sky
157,Conde,BR,-7.2597,-34.9075,83.66,74,20,13.8,few clouds
158,Arraial Do Cabo,BR,-22.9661,-42.0278,73.36,64,20,9.22,few clouds
159,Evans,US,33.5337,-82.1307,89.85,56,100,1.99,overcast clouds
160,Bonthe,SL,7.5264,-12.505,76.17,87,100,8.68,overcast clouds
161,Orapa,BW,-21.2833,25.3667,53.2,43,5,7.0,clear sky
162,Pangkalanbuun,ID,-2.6833,111.6167,75.22,96,100,2.3,overcast clouds
163,Prince Rupert,CA,54.3161,-130.3201,51.89,86,0,4.61,clear sky
164,Port Pirie,AU,-33.1833,138.0167,54.32,80,0,4.38,clear sky
