City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
467,Paducah,US,83.61,heavy intensity rain,37.0834,-88.6001,"Holiday Inn Paducah Riverfront, an IHG Hotel"
468,Karaton,ID,73.96,overcast clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
470,Ikare,NG,73.13,overcast clouds,7.4913,5.2322,Inisa Gardens Hotel & Events Centre
471,Formosa,AR,71.89,overcast clouds,-26.1775,-58.1781,Asterión Hotel
472,Wajir,KE,85.06,overcast clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
474,Port Moresby,PG,74.88,broken clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
478,Camocim,BR,83.3,light rain,-2.9022,-40.8411,Ilha Praia Hotel
479,Marsh Harbour,BS,81.1,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
483,Dromolaxia,CY,78.98,clear sky,34.8761,33.586,Sea N Lake View Hotel Apartments
484,Tura,IN,71.87,broken clouds,25.5198,90.2201,Hotel RIKMAN Continental
486,Porto Velho,BR,87.85,clear sky,-8.7619,-63.9039,Ecos Hotel Conforto
490,Playas,EC,75.25,broken clouds,-2.6333,-80.3833,Hostal Promenade
492,Nsanje,MW,76.78,broken clouds,-16.92,35.262,Nsanje Discovery Lodge
494,Saint-Paul,RE,71.71,few clouds,-21.0096,55.2707,Boucan Canot
496,Innisfail,AU,72.23,overcast clouds,-17.5333,146.0333,Moondarra Motel
497,Pandan,PH,79.57,overcast clouds,14.0453,124.1694,Bonifacio Lodge
498,Mogadishu,SO,79.99,overcast clouds,2.0371,45.3438,Hotel Juba
499,Changji,CN,75.99,clear sky,44.0167,87.3167,Lvye Holiday Resort
502,Mount Pleasant,US,87.1,clear sky,32.7941,-79.8626,Best Western Patriots Point
507,Omboue,GA,76.37,overcast clouds,-1.5746,9.2618,Hotel Olako
509,Korla,CN,78.4,overcast clouds,41.7597,86.1469,Gulisitan Hotel
510,Lucapa,AO,74.12,overcast clouds,-8.4192,20.7447,Residência Ulisses Dos Santos
511,Bairiki,KI,80.6,moderate rain,1.3292,172.9752,Tarawa Boutique Hotel
514,Igbo Ora,NG,76.21,overcast clouds,7.4333,3.2833,Pinkbell Inn
516,Miraflores,MX,83.16,scattered clouds,19.2167,-98.8083,Hotel Mansión
517,Adoni,IN,76.69,broken clouds,15.6333,77.2833,Bheemas Regency
520,Ende,ID,75.67,clear sky,-8.8432,121.6623,Dwi Putra Hotel - Ende
522,Benguela,AO,70.7,broken clouds,-12.5763,13.4055,Hotel Praia Morena
531,Santa Marta,CO,87.06,few clouds,11.2408,-74.199,Hotel La Ballena Azul
533,Abha,SA,70.05,clear sky,18.2164,42.5053,Abha Hotel
535,Ampanihy,MG,70.61,clear sky,-24.7,44.75,Angora Hotel
537,Miandrivazo,MG,73.44,clear sky,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
542,Kawalu,ID,72.45,overcast clouds,-7.3817,108.2082,West Jontor
545,Patiya,BD,78.44,moderate rain,22.2931,91.9762,Simon and marup bila
546,Lakshmipur,BD,82.54,overcast clouds,22.95,90.8333,Khalekgonjo Sufi Rowson Ali Dakhil Madrasha
547,Daru,PG,79.61,few clouds,-9.0763,143.2092,Daru Lodge
548,Algemesi,ES,78.87,overcast clouds,39.1833,-0.4333,Hotel Lluna Alzira
549,Isabela,PH,78.75,overcast clouds,6.7085,121.9711,Isawad Resort
556,Aguilas,ES,77.58,overcast clouds,37.4063,-1.5829,Hotel Carlos III
558,Lewisporte,CA,70.56,overcast clouds,49.2499,-55.0482,Ocean View Bed & Breakfast
562,Namatanai,PG,79.18,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
563,Jawhar,SO,77.81,overcast clouds,2.7809,45.5005,Hotel Shabelle
