City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
213,Paka,MY,2022-05-21 02:09:49,4.6374,103.4368,301.98,74,99,2.3
214,Camacha,PT,2022-05-21 02:09:49,33.0833,-16.3333,289.83,77,20,4.12
215,Makakilo City,US,2022-05-21 02:09:50,21.3469,-158.0858,300.01,73,100,1.54
216,Meadow Lake,US,2022-05-21 02:09:50,34.8014,-106.5436,299.73,10,1,8.25
217,Mackay,AU,2022-05-21 02:05:02,-21.15,149.2,294.64,82,91,7.79
218,Torbay,CA,2022-05-21 02:00:43,47.6666,-52.7314,279.2,83,21,0.45
219,Neiafu,TO,2022-05-21 02:09:51,-18.65,-173.9833,299.57,78,25,7.21
220,Alghero,IT,2022-05-21 02:09:52,40.5589,8.3181,288.2,100,0,0.51
221,Otautau,NZ,2022-05-21 02:09:52,-46.15,168.0,280.8,82,98,6.88
222,Notodden,NO,2022-05-21 02:09:53,59.5594,9.2585,285.91,87,100,1.21
223,Kavaratti,IN,2022-05-21 02:09:53,10.5669,72.642,301.77,76,63,6.75
224,Salalah,OM,2022-05-21 02:09:53,17.0151,54.0924,298.65,87,99,1.85
225,Hasaki,JP,2022-05-21 02:02:12,35.7333,140.8333,294.42,68,100,5.39
226,Koumac,NC,2022-05-21 02:09:54,-20.5667,164.2833,299.79,77,59,5.55
227,Dicabisagan,PH,2022-05-21 02:10:55,17.0818,122.4157,302.86,67,92,2.3
228,Fukue,JP,2022-05-21 02:10:55,32.6881,128.8419,292.88,70,49,8.03
229,Srednekolymsk,RU,2022-05-21 02:10:55,67.45,153.6833,288.16,35,71,3.99
230,Jardim,BR,2022-05-21 02:10:56,-21.4803,-56.1381,284.26,60,0,1.91
231,Kavieng,PG,2022-05-21 02:10:56,-2.5744,150.7967,302.47,71,36,5.47
232,Paita,PE,2022-05-21 02:10:57,-5.0892,-81.1144,292.67,79,50,5.3
233,Bulqize,AL,2022-05-21 02:10:57,41.4917,20.2219,279.33,60,3,1.17
234,Burley,US,2022-05-21 02:10:57,42.5357,-113.7928,286.59,20,13,4.92
235,Faya,SA,2022-05-21 02:02:11,18.3851,42.4509,291.82,17,2,3.54
236,Durant,US,2022-05-21 02:10:58,33.994,-96.3708,303.35,58,40,5.66
237,Takoradi,GH,2022-05-21 02:02:01,4.8845,-1.7554,298.7,88,100,3.27
238,Antofagasta,CL,2022-05-21 02:10:59,-23.65,-70.4,290.09,74,94,2.01
239,Berlevag,NO,2022-05-21 02:10:59,70.8578,29.0864,277.12,65,100,8.23
240,Wahiawa,US,2022-05-21 02:10:11,21.5028,-158.0236,299.01,73,100,1.54
241,Zabol,AF,2022-05-21 02:11:00,32.25,67.25,290.32,19,0,2.62
242,Le Port,RE,2022-05-21 02:11:00,-20.9373,55.2919,296.13,66,6,1.7
243,Politika,GR,2022-05-21 02:11:00,38.6,23.55,290.37,59,0,2.04
244,Kropotkin,RU,2022-05-21 02:11:01,45.4375,40.5756,284.96,76,71,7.7
245,Gambissara,SN,2022-05-21 02:11:01,13.2382,-14.3108,298.64,68,59,4.67
246,Ucluelet,CA,2022-05-21 02:11:02,48.9329,-125.5528,286.53,81,36,1.34
247,Jackson,US,2022-05-21 02:02:32,42.4165,-122.8345,291.51,38,1,0.89
248,Cayenne,GF,2022-05-21 02:00:06,4.9333,-52.3333,297.09,1,0,0.0
249,Tabou,CI,2022-05-21 02:11:03,4.423,-7.3528,298.4,88,100,3.05
250,Erenhot,CN,2022-05-21 02:11:03,43.6475,111.9767,299.05,14,37,3.23
251,Coruripe,BR,2022-05-21 02:11:04,-10.1256,-36.1756,297.37,90,100,3.54
252,Puerto Escondido,MX,2022-05-21 02:11:04,15.85,-97.0667,300.65,66,7,4.3
253,Avera,US,2022-05-21 02:11:05,33.194,-82.5271,299.88,52,97,1.58
254,Victoria Point,AU,2022-05-21 02:11:05,-27.5833,153.3,292.12,97,100,0.45
255,Lavrentiya,RU,2022-05-21 02:11:06,65.5833,-171.0,275.43,95,20,3.79
256,Necochea,AR,2022-05-21 02:06:18,-38.5473,-58.7368,284.08,59,100,4.81
257,Okakarara,NA,2022-05-21 02:11:06,-20.5833,17.4333,275.25,39,0,2.3
258,Lagoa,PT,2022-05-21 02:11:07,39.05,-27.9833,289.84,97,100,5.69
259,Mogwase,ZA,2022-05-21 02:11:07,-25.185,27.2665,283.3,71,100,1.86
260,Leningradskiy,RU,2022-05-21 02:02:08,69.3833,178.4167,273.82,97,87,4.46
261,Brownsville,US,2022-05-21 02:00:26,25.9018,-97.4975,302.09,82,100,4.47
262,Santo Antonio Do Leverger,BR,2022-05-21 02:11:08,-15.8656,-56.0767,286.36,52,57,1.07
263,Coos Bay,US,2022-05-21 02:11:09,43.3665,-124.2179,286.06,100,0,1.34
264,Fortuna,US,2022-05-21 02:11:09,40.5982,-124.1573,288.63,72,0,7.2
265,West Bay,KY,2022-05-21 02:11:09,19.3667,-81.4167,300.97,80,100,3.58
266,Simbahan,PH,2022-05-21 02:11:10,6.3032,120.5836,301.75,68,100,0.83
267,Rio Grande,BR,2022-05-21 02:11:10,-32.035,-52.0986,284.76,79,9,2.94
268,Barabinsk,RU,2022-05-21 02:11:11,55.3571,78.357,285.71,64,99,0.91
269,Castro,BR,2022-05-21 02:08:41,-24.7911,-50.0119,279.35,86,0,1.2
270,Daru,PG,2022-05-21 02:10:06,-9.0763,143.2092,301.9,70,38,4.97
